Fonds,Pays / Info,Secteurs,Position,Véhicules,Catégorie,Géographie d'investissement,HQ,Bureaux,"Ticket 
(m€)","Ticket Min 
(m€)","Ticket Max
(m€)",Type d'investissement,Contact,Contact qualifié (Oui/Non),Appétence pour secteur,Thèse d'investissement (VE/EBITDA cible),Approché dans Opérations D&A ,Sources,Plaquette ,Commentaires
France - PE specialist,"Tous secteurs, Tous secteurs, Tous secteurs, Energie et Environnement, Santé, Technologie, Tous secteurs","ANDERA PARTNERS |  France - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  8 - 20 M€    VE:  10 - 150 M€ Secteur:  Tous secteurs Zones géographiques:  France 2 (Minoritaire, Majoritaire) Ticket unitaire:  20 - 100 M€    VE:  30 - 500 M€ Secteur:  Tous secteurs Zones géographiques:  Europe    France 3 (Mezzanine) Ticket unitaire:  5 - 100 M€    VE:  20 - 150 M€ Secteur:  Tous secteurs Zones géographiques:  France 4 (Minoritaire, Majoritaire) Ticket unitaire:  5 - 30 M€    VE:  10 - 30 M€ Secteur:  Energie et Environnement Zones géographiques:  Europe    France 5 (Venture) Ticket unitaire:  5 - 35 M€    VE:  0 - 0 M€ Secteur:  Santé    Technologie Zones géographiques:  Europe    Etats-Unis 6 (Minoritaire, Majoritaire) Ticket unitaire:  2 - 14 M€    VE:  5 - 30 M€ Secteur:  Tous secteurs Zones géographiques:  France",,,,,,,,,,,,,,,,,,
Belgique - PE specialist,"Tous secteurs, Tous secteurs","WALLONIE ENTREPRENDRE (WE) |  Belgique - PE specialist 1 (Mezzanine, Minoritaire, Unitranche) Ticket unitaire:  1 - 35 M€    VE:  10 - 500 M€ Secteur:  Tous secteurs Zones géographiques:  Belgique 2 (Venture (Growth), Venture (Serie B/C), Venture (Serie A)) Ticket unitaire:  1 - 35 M€    VE:  0 - 0 M€ Secteur:  Tous secteurs Zones géographiques:  Belgique",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"BAIN CAPITAL |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  30 - 350 M€    VE:  90 - 1 000 M€ Secteur:  Tous secteurs Zones géographiques:  Europe    Amérique du Nord    Asie",,,,,,,,,,,,,,,,,,
Angleterre - Bank - PE dept,"Tous secteurs, Industrie, Biens de consommation, , , , ","LLOYDS DEVELOPMENT CAPITAL (LDC) |  Angleterre - Bank - PE dept 1 (Minoritaire, Majoritaire) Ticket unitaire:  2 - 100 M€    VE:  5 - 300 M€ Secteur:  Tous secteurs Zones géographiques:  Royaume-Uni 2 (Minoritaire) Ticket unitaire:  2 - 100 M€    VE:  10 - 300 M€ Secteur:  Industrie    Biens de consommation    Telecom    Distribution aux Particuliers / Entreprises    Santé    Média Zones géographiques:  Europe de l'Ouest    Asie",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Tous secteurs, Tous secteurs","CVC CAPITAL PARTNERS |  Angleterre - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  45 - 1 500 M€    VE:  500 - 5 000 M€ Secteur:  Tous secteurs Zones géographiques:  Europe    Amérique 2 (Minoritaire, Majoritaire) Ticket unitaire:  15 - 700 M€    VE:  200 - 1 000 M€ Secteur:  Tous secteurs Zones géographiques:  Asie",,,,,,,,,,,,,,,,,,
France - PE specialist,"Tous secteurs, Tous secteurs, Tous secteurs","CATHAY CAPITAL |  France - PE specialist 1 (Minoritaire, Majoritaire) Ticket unitaire:  10 - 30 M€    VE:  20 - 1 000 M€ Secteur:  Tous secteurs Zones géographiques:  France    Amérique du Nord    Singapour    Chine 2 (Minoritaire, Majoritaire) Ticket unitaire:  30 - 90 M€    VE:  20 - 1 000 M€ Secteur:  Tous secteurs Zones géographiques:  France    Amérique du Nord    Singapour    Chine 3 (Venture) Ticket unitaire:  5 - 25 M€    VE:  0 - 0 M€ Secteur:  Tous secteurs Zones géographiques:  Europe de l'Ouest    Amérique du Nord    Chine",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,"Tous secteurs, Tous secteurs","BLACKSTONE |  Etats-Unis - PE specialist 1 (Minoritaire, Majoritaire, Retournement) Ticket unitaire:  70 - 1 000 M€    VE:  150 - 15 000 M€ Secteur:  Tous secteurs Zones géographiques:  Europe    Amérique du Nord    Asie 2 (Venture (Growth)) Ticket unitaire:  5 - 500 M€    VE:  0 - 0 M€ Secteur:  Tous secteurs Zones géographiques:  Europe    Amérique du Nord    Asie",,,,,,,,,,,,,,,,,,
France - PE specialist,"Tous secteurs, Energie et Environnement, Tous secteurs, Industrie, Transport et Logistique, , Transport et Logistique, ","TIKEHAU CAPITAL |  France - PE specialist 1 (Minoritaire) Ticket unitaire:  20 - 100 M€    VE:  50 - 300 M€ Secteur:  Tous secteurs Zones géographiques:  Europe 2 (Minoritaire, Majoritaire) Ticket unitaire:  25 - 75 M€    VE:  50 - 1 000 M€ Secteur:  Energie et Environnement Zones géographiques:  Europe    Afrique    Amérique du Sud    Asie 3 (Mezzanine, Unitranche) Ticket unitaire:  6 - 50 M€    VE:  20 - 500 M€ Secteur:  Tous secteurs Zones géographiques:  Europe    Amérique du Nord 4 (Minoritaire) Ticket unitaire:  0 - 10 M€    VE:  50 - 500 M€ Secteur:  Industrie    Transport et Logistique    Aéronautique et Défense Zones géographiques:  France 5 (Venture) Ticket unitaire:  0 - 5 M€    VE:  0 - 0 M€ Secteur:  Transport et Logistique    Aéronautique et Défense Zones géographiques:  France",,,,,,,,,,,,,,,,,,
Angleterre - PE specialist,"Tous secteurs, Tous secteurs","MAVEN CAPITAL PARTNERS |  Angleterre - PE specialist 1 (Mezzanine, Minoritaire, Majoritaire) Ticket unitaire:  1 - 25 M€    VE:  5 - 45 M€ Secteur:  Tous secteurs Zones géographiques:  Royaume-Uni 2 (Venture) Ticket unitaire:  0 - 15 M€    VE:  0 - 0 M€ Secteur:  Tous secteurs Zones géographiques:  Royaume-Uni",,,,,,,,,,,,,,,,,,
Etats-Unis - PE specialist,Tous secteurs,"TPG CAPITAL |  Etats-Unis - PE specialist 1 (Venture, Minoritaire, Majoritaire) Ticket unitaire:  10 - 900 M€    VE:  250 - 3 000 M€ Secteur:  Tous secteurs Zones géographiques:  Europe    Australie    Amérique du Nord    Asie",,,,,,,,,,,,,,,,,,
