Nom du conseil,Type de structure,Compétences,Pays siège,Bureaux répertoriés sur Arx,Site internet,Description
Access Finance M&A,Advisory Boutique,M&A,France,Les Ponts-de-Cé,www.accessfinance.fr,"Fondé en 2017, Access Finance est un cabinet indépendant de conseil en fusions-acquisitions basé à Angers, au service des dirigeants de PME et ETI régionales. Access Finance est spécialisé dans le conseil financier, les fusions-acquisitions, les cessions, les acquisitions, les levées de fonds, l'évaluation, le corporate finance, le LBO, l'OBO, le MBO, la transmission et la croissance externe."
Accuracy,Consulting Firm,"Due Diligence, Consultancy",France,"Barcelona, New Delhi, Casablanca, Dubaï, London, Paris, Milano, Singapore, Hong kong, Montréal, Frankfurt am main, München, Amsterdam, Madrid, Beijing, Luxembourg-ville, Toronto",www.accuracy.com,"Accuracy a été créée en novembre 2004 et est spécialisé dans le domaine du conseil financier aux dirigeants d’entreprises et à leurs actionnaires. Accuracy est présent dans dix pays en Europe, en Amérique du Nord et en Asie, et mène ses missions partout dans le monde. Accuracy intègre des expertises dans les disciplines économique, financière et comptable, au service d’un métier."
ACOM Corporate Finance,Advisory Boutique,M&A,France,"Saint Jean, Bordeaux",www.acomcf.com,"ACOM Corporate Finance est un cabinet de conseil spécialisé dans les opérations de cession, acquisition, transmission, restructuration et levée de fonds. Basé à Bordeaux, le cabinet dispose également de bureaux supplémentaires à Paris, Toulouse, Bayonne, Brive, Marseille et Grenoble."
Acticam,Bank - Corporate Finance dept,M&A,France,"Nantes, Rouen, Angers, Brest, Rennes, Caen",www.acticam.fr,"Acticam est une filiale des Caisses Régionales de Crédit Agricole de l'Ouest spécialisée en fusions-acquisitions de PME. Acticam intervient en conseil auprès des dirigeants de PME/PMI lors de la cession de leur entreprise, d'acquisition d'entreprise ainsi qu'en ingénierie financière. Basée à Nantes (Loire-Atlantique), les experts d'Acticam conduisent, aux côtés de leurs clients, des opérations de cessions et d'acquisitions sur le Grand Ouest de la France."
Actoria,Advisory Boutique,"Due Diligence, Consultancy, M&A",France,Paris,actoria.fr,"Fondé en 2002 et basé à Paris, Actoria est un cabinet de conseil spécialisé dans la transmission, la cession et le développement stratégique  des PME. Fort de plus de 20 ans d'expérience, Actoria propose une expertise multidisciplinaire, incluant des compétences financières, juridiques, fiscales, comptables, managériales, et organisationnelles. Le cabinet se distingue par son approche personnalisée et son réseau international, lui permettant de réaliser des opérations transfrontalières grâce à une présence dans plusieurs pays européens et nord-africains. Actoria utilise des méthodes initialement conçues pour les grandes entreprises et adaptées aux PME, et dispose d'un portefeuille conséquent de repreneurs et investisseurs."
Advance Capital,Advisory Boutique,"Due Diligence, Consultancy, Debt Activity",France,"Paris, Lyon, Bordeaux",www.advance-capital.fr,"Basée à Lyon et présent à Paris, Marseille et Bordeaux, Advance Capital est une société de conseil indépendante fondée en 2007. Elle est spécialisée dans les services de conseil en acquisition et cession, d'évaluation d'entreprises, restructuration et transformation."
Advention Business Partners,Consulting Firm,Consultancy,France,"London, Dubai, Moscow, Paris, New york city, Shanghai",www.adventionbp.com,"Présent en France, au Royaume-Uni, aux États-Unis, en Russie, en Chine, en Allemagne et aux Émirats arabes unis, Advention Business Partners a été fondé en 2001. Le cabinet intervient auprès de sociétés large cap, de fonds d'investissement et de PME-ETI en conseil en stratégie et support de transaction."
Adviso Partners,Advisory Boutique,"M&A, Debt Activity",France,"Marseille, Bordeaux, Paris, Lyon, Nantes, Lille",www.advisopartners.com,"Adviso Partners est une société de conseil financier indépendante dédiée aux opérations de haut de bilan et transmission d’entreprise : cession, acquisition, levée de fonds, recomposition du capital, montage LBO/OBO/MBO/MBI, situations spéciales et entreprises en difficulté. Adviso Partners s’appuie sur 6 implantations régionales (Paris, Lyon, Lille, Nantes, Bordeaux et Marseille) ainsi que ses réseaux partenaires : les Banques Populaires Régionales, le cabinet Fidal et Grant Thornton M&A International."
Alkar Corporate Finance,Advisory Boutique,M&A,France,Lyon,www.advisori.eu,"Alkar Corporate Finance est une firme de financement d'entreprise indépendante fournissant des services de fusions et acquisitions, de financement et de conseil stratégique aux entreprises en Europe. Spécialisée dans les industries de la technologie, de l'énergie et de la santé, Alkar travaille avec des start-up, des petites et moyennes entreprises et des fonds d'investissement."
Allinvest ,Investment Bank,"ECM, M&A, Debt Activity",France,Paris,www.all-invest.com,"Anciennement connu sous le nom d'Investi Corporate Finance, All Invest est né de la fusion en 2016 d'Invest Securities et de L'Lione & Associés. Le cabinet accompagne les PME et ETI en forte croissance, cotées et non cotées, ainsi que leurs actionnaires familiaux ou financiers, dans le cadre d'opérations d'acquisitions, de cessions, d'augmentations de capital et de levées de fonds."
Alma Deals & Conseils,Advisory Boutique,M&A,France,Paris,alma-deals.com,"Fondée en 2023 et basée à Paris, Alma Deals & Conseils est un cabinet de conseil pour les particuliers et les entreprises, spécialisé dans l'accompagnement des dirigeants d'entreprise, des responsables de groupe et des gestionnaires de fonds d'investissement."
Alma Partners,Investment Bank,M&A,France,Paris,www.almapartners.eu,"Alma Partners fournit des services de banque d'investissement aux entrepreneurs et aux groupes familiaux. Ils conseillent sur les fusions, les acquisitions et les transactions stratégiques. L'équipe d'Alma Partners accompagne ses clients dans diverses opérations, telles que les levées de fonds, cessions, acquisitions, LBO, OBO ou MBO."
Alternative Patrimoine,Consulting Firm,Consultancy,France,Paris,alternativepatrimoine.com,"Fondée en 2011, Alternative Patrimoine est une société de services financiers basée à Paris qui propose des services de conseil en investissement et en gestion de patrimoine."
Altios,Investment Bank,M&A,France,"Auckland, New Dehli, Singapore, Montreal, Nantes, Frankfurt am main, Dubai, Torino, Paris, Cologne, Ho chi minh city, Hong Kong, Prague, Madrid, Sydney, New york, Milano, Warsaw, London, Shanghai, Lyon, Kuala lumpur, Mumbai, Sao paulo, Ciudad de mexico",www.altios.fr,"Altios est une société de conseil basée à Paris avec des bureaux en Europe, aux États-Unis, en Asie et en Australie. Elle propose des services de conseils en M&A avec un focus pour les mandats buy-side crossborder sur un segment small/mid-cap."
Amala Partners,Advisory Boutique,M&A,France,Paris,amala-partners.com/,"Fondé en 2020, Amala Partners est un cabinet de conseil en fusions et acquisitions, basé à Paris. Le cabinet accompagne ses clients opérant en France tout au long des opérations LBO."
